run_id,candidate_id,cif_file,temperature_k,pressure_bar,uptake_mmol_g
native_baseline_repC,base_native,2021[Cu][nbo]3[ASR]2_base_native.cif,298.15,5,0.8827792
native_baseline_repC,base_native,2021[Cu][nbo]3[ASR]2_base_native.cif,298.15,100,15.53877
V009_scale1.2600_repA,v009_scale12600,v009_scale12600_proxy_simple.cif,298.15,5,1.324282
V009_scale1.2600_repA,v009_scale12600,v009_scale12600_proxy_simple.cif,298.15,100,24.93033
V009_scale1.2600_repB,v009_scale12600,v009_scale12600_proxy_simple.cif,298.15,5,1.319537
V009_scale1.2600_repB,v009_scale12600,v009_scale12600_proxy_simple.cif,298.15,100,24.87828
V009_scale1.2600_repC,v009_scale12600,v009_scale12600_proxy_simple.cif,298.15,5,1.321411
V009_scale1.2600_repC,v009_scale12600,v009_scale12600_proxy_simple.cif,298.15,100,24.92189
V009_scale1.2600_repD,v009_scale12600,v009_scale12600_proxy_simple.cif,298.15,5,1.303174
V009_scale1.2600_repD,v009_scale12600,v009_scale12600_proxy_simple.cif,298.15,100,25.03468
V009_scale1.2600_repE,v009_scale12600,v009_scale12600_proxy_simple.cif,298.15,5,1.30663
V009_scale1.2600_repE,v009_scale12600,v009_scale12600_proxy_simple.cif,298.15,100,24.96486
V009_scale1.2600_repF,v009_scale12600,v009_scale12600_proxy_simple.cif,298.15,5,1.29274
V009_scale1.2600_repF,v009_scale12600,v009_scale12600_proxy_simple.cif,298.15,100,24.95381
V009_scale1.2600_repG,v009_scale12600,v009_scale12600_proxy_simple.cif,298.15,5,1.341096
V009_scale1.2600_repG,v009_scale12600,v009_scale12600_proxy_simple.cif,298.15,100,25.14607
V009_scale1.2600_repH,v009_scale12600,v009_scale12600_proxy_simple.cif,298.15,5,1.329505
V009_scale1.2600_repH,v009_scale12600,v009_scale12600_proxy_simple.cif,298.15,100,24.957
V009_scale1.2600_repI,v009_scale12600,v009_scale12600_proxy_simple.cif,298.15,5,1.329412
V009_scale1.2600_repI,v009_scale12600,v009_scale12600_proxy_simple.cif,298.15,100,24.98954
V010_scale1.2600_CuNi12_repA,v010_scale12600_cuni12,v010_scale12600_cuni12_proxy_simple.cif,298.15,5,1.323888
V010_scale1.2600_CuNi12_repA,v010_scale12600_cuni12,v010_scale12600_cuni12_proxy_simple.cif,298.15,100,24.9605
V010_scale1.2600_CuNi12_repB,v010_scale12600_cuni12,v010_scale12600_cuni12_proxy_simple.cif,298.15,5,1.310861
V010_scale1.2600_CuNi12_repB,v010_scale12600_cuni12,v010_scale12600_cuni12_proxy_simple.cif,298.15,100,25.10466
V010_scale1.2600_CuNi12_repC,v010_scale12600_cuni12,v010_scale12600_cuni12_proxy_simple.cif,298.15,5,1.333621
V010_scale1.2600_CuNi12_repC,v010_scale12600_cuni12,v010_scale12600_cuni12_proxy_simple.cif,298.15,100,25.05362
V010_scale1.2600_CuNi12_repD,v010_scale12600_cuni12,v010_scale12600_cuni12_proxy_simple.cif,298.15,5,1.336648
V010_scale1.2600_CuNi12_repD,v010_scale12600_cuni12,v010_scale12600_cuni12_proxy_simple.cif,298.15,100,25.03131
V010_scale1.2600_CuNi12_repE,v010_scale12600_cuni12,v010_scale12600_cuni12_proxy_simple.cif,298.15,5,1.340808
V010_scale1.2600_CuNi12_repE,v010_scale12600_cuni12,v010_scale12600_cuni12_proxy_simple.cif,298.15,100,25.02611
V010_scale1.2600_CuNi12_repF,v010_scale12600_cuni12,v010_scale12600_cuni12_proxy_simple.cif,298.15,5,1.323955
V010_scale1.2600_CuNi12_repF,v010_scale12600_cuni12,v010_scale12600_cuni12_proxy_simple.cif,298.15,100,24.86874
V010_scale1.2600_CuNi12_repG,v010_scale12600_cuni12,v010_scale12600_cuni12_proxy_simple.cif,298.15,5,1.309901
V010_scale1.2600_CuNi12_repG,v010_scale12600_cuni12,v010_scale12600_cuni12_proxy_simple.cif,298.15,100,25.06304