check_group,candidate_id,condition_label,metric,value,unit,source_basis
durability,v010_scale12600_cuni12,298.15K_cycle_window,mean_release,94.68,percent,prepublication_curated_extract
durability,v010_scale12600_cuni12,298.15K_cycle_window,uptake_high_center,25.06,mmol_g,prepublication_curated_extract
durability,v010_scale12600_cuni12,298.15K_cycle_window,uptake_high_rsd,0.31,percent,prepublication_curated_extract
temperature_check,v010_scale12600_cuni12,273.15K_100bar,uptake,5.68,wt_percent,prepublication_curated_extract
temperature_check,v010_scale12600_cuni12,273.15K_100bar,release,94.78,percent,prepublication_curated_extract
temperature_check,v010_scale12600_cuni12,298.15K_100bar,uptake,5.03,wt_percent,prepublication_curated_extract
temperature_check,v010_scale12600_cuni12,298.15K_100bar,release,94.71,percent,prepublication_curated_extract
temperature_check,v010_scale12600_cuni12,323.15K_100bar,uptake,4.54,wt_percent,prepublication_curated_extract
temperature_check,v010_scale12600_cuni12,323.15K_100bar,release,94.66,percent,prepublication_curated_extract
h2_n2_screen,v010_scale12600_cuni12,298.15K_5bar,h2_loading,1.255244,mol_kg_framework,prepublication_curated_extract
h2_n2_screen,v010_scale12600_cuni12,298.15K_5bar,n2_loading,0.08673655,mol_kg_framework,prepublication_curated_extract
h2_n2_screen,v010_scale12600_cuni12,298.15K_100bar,h2_loading,23.7654,mol_kg_framework,prepublication_curated_extract
h2_n2_screen,v010_scale12600_cuni12,298.15K_100bar,n2_loading,1.572044,mol_kg_framework,prepublication_curated_extract
mass_transfer_review,v010_scale12600_cuni12,review_summary,diffusivity_estimate,9.93e-06,m2_s,prepublication_curated_extract